feature,shap_score,embedding_score,shap_norm,embedding_norm,combined_score
M21,2.321294822692871,0.0257626602892144,0.27501670329102235,0.12923475408584637,0.20212572868843437
M6,1.7456274795532227,0.0583694869677941,0.10938158735225077,0.29281163912610353,0.20109661323917716
MMP2_Expr,2.5138472747802734,0.0138404594641712,0.33041926886274137,0.06942530089958807,0.1999222848811647
KCNE1L_Expr,2.2121017265319822,0.0297406735115485,0.24359888646007036,0.14919103557170582,0.1963949610158881
GPC4_Expr,1.9701898384094239,0.0423797158908671,0.17399427172265433,0.21259662859922063,0.19329545016093747
CHRDL1_Expr,1.8364316940307617,0.0494528323218128,0.13550842392193904,0.2480799451668283,0.19179418454438368
ARHGAP5_Expr,2.289459438323975,0.0230502630492946,0.2658567993226322,0.1156276191177159,0.19074220922017404
RPS4Y1_Expr,2.6238371658325197,0.0032943826355941,0.3620663452057748,0.01651937374455041,0.1892928594751626
MYCL_Expr,2.3999131393432616,0.0154094437592636,0.29763732637913726,0.07729633864877507,0.18746683251395616
THSD7A_Expr,2.43200813293457,0.0133675941807008,0.30687192696557514,0.06705310347981955,0.18696251522269736
HOXB8_Expr,1.9124164009094238,0.0430405010862107,0.15737128601305414,0.21591155356878322,0.1866414197909187
DOCK1_Expr,2.0636294746398924,0.0342842299670039,0.20087939064550392,0.17198444688137454,0.18643191876343923
CASC10_Expr,2.000323314666748,0.0374455079405511,0.18266449054434167,0.18784345728912244,0.18525397391673204
BCLAF1_Expr,1.976083755493164,0.0381022196840532,0.17569011160506712,0.1911379471954953,0.1834140294002812
IL12A-AS1_Expr,2.0006847953796387,0.0358453217771056,0.18276849835458625,0.17981589083252864,0.18129219459355744
HPGDS_Expr,2.0987825775146485,0.0298689768026668,0.21099389225768814,0.1498346876789295,0.18041428996830883
M16,2.2729766845703123,0.0197191813478605,0.2611142637914551,0.09891676363010901,0.18001551371078206
DPPA4_Expr,2.3072194862365722,0.0176383672943043,0.270966847044008,0.0884780575093348,0.17972245227667139
RBPMS_Expr,2.0316094589233398,0.0332609320630587,0.19166636322823405,0.16685092422228234,0.17925864372525818
AC004791.2_Expr,2.2521024703979493,0.0205367274083797,0.25510818593108325,0.10301810226311729,0.17906314409710028
COL4A5_Expr,2.527123966217041,0.0045138701095995,0.33423933326559363,0.022637109895626364,0.17843822158060998
C20orf166-AS1_Expr,1.9561283493041992,0.0365435390657919,0.16994839973430592,0.18331859933864608,0.176633499536476
WT1_Expr,2.2323130798339843,0.0201952632272674,0.249414241260637,0.10130509757088624,0.17535966941576162
CD34_Expr,1.8969492721557617,0.0388334818543224,0.1529209733543921,0.1948064301527465,0.1738637017535693
VCAN_Expr,2.3204255294799805,0.0143343910111607,0.2747665840445203,0.0719031802920263,0.1733348821682733
M7,1.9214804077148437,0.0367278536235171,0.1599792467319955,0.18424324010536217,0.17211124341867884
DEFB1_Expr,2.4061907958984374,0.0088320003491522,0.299443578520642,0.04429963783025019,0.1718716081754461
PHACTR3_Expr,2.0974284172058106,0.0262082686265195,0.21060426359032142,0.13147021307370982,0.17103723833201562
ARPP21_Expr,1.8777940559387207,0.0387547886201474,0.14740949785252028,0.19441165410639955,0.1709105759794599
SALL4_Expr,2.450871295928955,0.0055255484102899,0.3122993708301282,0.027712341126222294,0.17000585597817525
FAT1_Expr,2.1134788894653322,0.0248755548539775,0.21522242000523722,0.12478446073995449,0.17000344037259585
AL589743.1_Expr,2.403557872772217,0.0078870208666842,0.29868601509018766,0.03955901091513197,0.16912251300265982
DSC2_Expr,2.047492752075195,0.0283036329775816,0.19623641767729952,0.14198191287663184,0.16910916527696568
