Metadata	Feature_Name
Drug	MFP954
Drug	MFP955
Drug	MFP956
Drug	MFP957
Drug	MFP958
Drug	MFP959
Drug	MFP960
Drug	MFP961
Drug	MFP962
Drug	MFP963
Drug	MFP964
Drug	MFP965
Drug	MFP966
Drug	MFP967
Drug	MFP968
Drug	MFP969
Drug	MFP970
Drug	MFP971
Drug	MFP972
Drug	MFP973
Drug	MFP974
Drug	MFP975
Drug	MFP976
Drug	MFP977
Drug	MFP978
Drug	MFP979
Drug	MFP980
Drug	MFP981
Drug	MFP982
Drug	MFP983
Drug	MFP984
Drug	MFP985
Drug	MFP986
Drug	MFP987
Drug	MFP988
Drug	MFP989
Drug	MFP990
Drug	MFP991
Drug	MFP992
Drug	MFP993
Drug	MFP994
Drug	MFP995
Drug	MFP996
Drug	MFP997
Drug	MFP998
Drug	MFP999
Drug	MFP1000
Drug	MFP1001
Drug	MFP1002
Drug	MFP1003
Drug	MFP1004
Drug	MFP1005
Drug	MFP1006
Drug	MFP1007
Drug	MFP1008
Drug	MFP1009
Drug	MFP1010
Drug	MFP1011
Drug	MFP1012
Drug	MFP1013
Drug	MFP1014
Drug	MFP1015
Drug	MFP1016
Drug	MFP1017
Drug	MFP1018
Drug	MFP1019
Drug	MFP1020
Drug	MFP1021
Drug	MFP1022
Drug	MFP1023
Drug_Patient	AUC_HMHypoxia
Drug_Patient	AUC_HMMitoticspindle
Drug_Patient	AUC_HMWntbetacateninsignaling
Drug_Patient	AUC_HMTGFbetasignaling
Drug_Patient	AUC_HMDNArepair
Drug_Patient	AUC_HMG2Mcheckpoint
Drug_Patient	AUC_HMApoptosis
Drug_Patient	AUC_HMNotchsignaling
Drug_Patient	AUC_HMHedgehogsignaling
Drug_Patient	AUC_HMPI3KAktmTORsignaling
Drug_Patient	AUC_HMmTORC1signaling
Drug_Patient	AUC_HME2Ftargets
Drug_Patient	AUC_HMEpithelialmesenchymaltransition
Drug_Patient	AUC_HMOxidativephosphorylation
Drug_Patient	AUC_HMGlycolysis
Drug_Patient	AUC_HMReactiveoxigenspeciespathway
Drug_Patient	AUC_HMp53pathway
Drug_Patient	AUC_HMUVresponseup
Drug_Patient	AUC_HMUVresponsedown
Drug_Patient	AUC_HMAngiogenesis
Drug_Patient	AUC_HMKRASsignalingup
Drug_Patient	AUC_HMKRASsignalingdown
Drug_Patient	AUC_HMMyctargets
Drug_Patient	AUC_HMEstrogenresponse
Drug_Patient	AUC_IPAERKMAPKSignaling
Drug_Patient	AUC_IPAHMGB1Signaling
Drug_Patient	AUC_IPAErbBSignaling
Drug_Patient	AUC_IPAPTENSignaling
Drug_Patient	AUC_IPAPI3KAKTSignaling
Drug_Patient	AUC_IPAHER2SignalinginBreastCancer
Drug_Patient	AUC_IPAmTORSignaling
Drug_Patient	AUC_IPAAMPKSignaling
Drug_Patient	AUC_IPAp38MAPKSignaling
Drug_Patient	AUC_IPAMycMediatedApoptosisSignaling
Drug_Patient	AUC_IPAEGFSignaling
Drug_Patient	AUC_IPAVEGFSignaling
Drug_Patient	AUC_IPAEstrogenDependentBreastCancerSignaling
Drug_Patient	AUC_IPATNFR1Signaling
Drug_Patient	AUC_IPAErbB2ErbB3Signaling
Drug_Patient	AUC_IPAUVCInducedMAPKSignaling
Drug_Patient	AUC_IPAUVAInducedMAPKSignaling
Drug_Patient	AUC_IPAUVBInducedMAPKSignaling
Drug_Patient	AUC_IPAERK5Signaling
Drug_Patient	AUC_IPAMismatchRepairinEukaryotes
Drug_Patient	AUC_IPATelomereExtensionbyTelomerase
Drug_Patient	AUC_TBIBarriergenes
Drug_Patient	AUC_TBIMAPKupgenes
Drug_Patient	AUC_TBIPhopholipase
Drug_Patient	AUC_LMProliferation
Drug_Patient	AUC_TPWPI3KgammaSignature
Drug_Patient	AUC_TPWNOS1Signature
Drug_Patient	AUC_TPWSHC1pSTAT3Signature
Drug_Patient	AUC_TPWHypoxiaAdenosineImmuneCellSuppression
Drug_Patient	AUC_TPWImmunogenicCellDeathICD
Patient	LASP1
Patient	HOXA11
Patient	CREBBP_x
Patient	ETV1
Patient	GAS7
Patient	CD79B
Patient	BTK
Patient	BRCA1
Patient	WAS
Patient	WWTR1
Patient	CD74
Patient	BIRC3
Patient	FAS
Patient	BCLAF1
Patient	ANK1
Patient	RABEP1
Patient	ZCCHC8
Patient	CUL3
Patient	FLT4
Patient	CDH1
Patient	TNC
Patient	CTNNA1
Patient	PREX2
Patient	TPR
Patient	GOPC
Patient	TNFRSF17
Patient	SNX29
Patient	ELN
Patient	ARID1B_x
Patient	HERPUD1
Patient	POLQ_x
Patient	PIK3CB
Patient	THRAP3
Patient	KMT2C
Patient	PRDM1
Patient	POLD1
Patient	CASP8
Patient	PMS1
Patient	NTHL1
Patient	ERBB3
Patient	SPEN
Patient	MAP2K4
Patient	SMARCD1
Patient	GOLGA5
Patient	FGFR2
Patient	KLF6
Patient	RHOA
Patient	CBFB
Patient	FGFR3
Patient	TFE3
Patient	BCL3
Patient	CLTCL1_x
Patient	FSTL3
Patient	PABPC1
Patient	TCF3
Patient	PRKACA
